,rating_1,rating_2,rating_3
3d printing,Fascinating,Informative,Ingenious
AI,Informative,Fascinating,Inspiring
AIDS,Informative,Persuasive,Inspiring
Addiction,Informative,Inspiring,Persuasive
Africa,Inspiring,Informative,Fascinating
Alzheimer's,Informative,Inspiring,Persuasive
Anthropocene,Informative,Inspiring,Persuasive
Asia,Informative,Inspiring,Fascinating
Autism spectrum disorder,Inspiring,Informative,Fascinating
Bioethics,Fascinating,Informative,Jaw-dropping
Blindness,Inspiring,Fascinating,Informative
Brand,Funny,Informative,Fascinating
Brazil,Inspiring,Fascinating,Informative
Buddhism,Inspiring,Beautiful,Informative
CRISPR,Informative,Fascinating,Jaw-dropping
Christianity,Inspiring,Beautiful,Funny
Criminal Justice,Inspiring,Courageous,Informative
DNA,Fascinating,Informative,Inspiring
Debate,Inspiring,Persuasive,Informative
Egypt,Inspiring,Informative,Courageous
Europe,Informative,Inspiring,Persuasive
Foreign Policy,Inspiring,Beautiful,Informative
Gender equality,Inspiring,Courageous,Beautiful
Gender spectrum,Inspiring,Courageous,Beautiful
God,Inspiring,Persuasive,Courageous
Google,Informative,Jaw-dropping,Fascinating
Guns,Inspiring,Persuasive,Courageous
HIV,Informative,Inspiring,Fascinating
Human body,Inspiring,Fascinating,Informative
Internet,Informative,Inspiring,Fascinating
Iran,Funny,Inspiring,Courageous
Islam,Inspiring,Courageous,Beautiful
LGBT,Inspiring,Courageous,Beautiful
MacArthur grant,Fascinating,Inspiring,Informative
Mars,Fascinating,Informative,Inspiring
Middle East,Inspiring,Courageous,Informative
Moon,Jaw-dropping,Inspiring,Fascinating
NASA,Jaw-dropping,Fascinating,Informative
Natural resources,Informative,Inspiring,Persuasive
New York,Inspiring,Beautiful,Fascinating
Nobel prize,Fascinating,Informative,Inspiring
PTSD,Inspiring,Informative,Courageous
Planets,Fascinating,Jaw-dropping,Informative
Senses,Fascinating,Informative,Inspiring
Slavery,Inspiring,Courageous,Informative
South America,Inspiring,Fascinating,Beautiful
String theory,Fascinating,Informative,Inspiring
Surgery,Informative,Fascinating,Ingenious
Surveillance,Informative,Courageous,Persuasive
Syria,Inspiring,Informative,Courageous
